expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/02/2015,10.0,Call,BBRY  150102C00010000,0.980,0.96,1.00,-0.02,-2.4876,107,1527,0.9801,0.3379,33.8001,0.9999,0.0013,-0.0001,-18.0423,0.0000,0.0005
01/02/2015,10.0,Put,BBRY  150102P00010000,0.000,0.00,0.01,0.00,0,1,1791,0.0000,0.3225,33.8001,-0.0000,0.0007,-0.0000,-56.4167,0.0000,-0.0000
01/02/2015,10.5,Call,BBRY  150102C00010500,0.485,0.47,0.50,-0.02,-3.9604,96,2463,0.4841,0.3379,33.8001,0.9641,0.2875,-0.0055,-52.5741,0.0006,0.0006
01/02/2015,10.5,Put,BBRY  150102P00010500,0.000,0.00,0.01,-0.02,-100,9,1595,0.0030,0.3225,33.8001,-0.0297,0.2576,-0.0044,-58.2460,0.0005,-0.0000
01/02/2015,11.0,Call,BBRY  150102C00011000,0.100,0.09,0.11,-0.05,-31.0345,904,5313,0.1000,0.3379,33.8001,0.4761,1.4500,-0.0274,-52.9858,0.0032,0.0003
01/02/2015,11.0,Put,BBRY  150102P00011000,0.115,0.11,0.12,-0.03,-17.8571,434,992,0.1150,0.3225,33.8001,-0.5255,1.5254,-0.0262,-58.2934,0.0032,-0.0003
01/02/2015,11.5,Call,BBRY  150102C00011500,0.000,0.00,0.01,-0.02,-100,1725,2580,0.0035,0.3379,33.8001,0.0331,0.2687,-0.0051,-53.0162,0.0006,0.0000
01/02/2015,11.5,Put,BBRY  150102P00011500,0.525,0.51,0.54,0.02,3.9604,200,704,0.5226,0.3225,33.8001,-0.9730,0.2381,-0.0040,-58.9861,0.0005,-0.0006
01/02/2015,12.0,Call,BBRY  150102C00012000,0.000,0.00,0.01,0.00,0,0,1772,0.0000,0.3379,33.8001,0.0002,0.0028,-0.0001,-53.3462,0.0000,0.0000
01/02/2015,12.0,Put,BBRY  150102P00012000,1.020,1.00,1.04,-0.02,-1.9231,35,147,1.0200,0.3225,33.8001,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/09/2015,10.0,Call,BBRY  150109C00010000,1.010,0.98,1.04,-0.05,-4.2654,30,1287,1.0100,0.4408,50.6503,0.9171,0.2009,-0.0065,-30.9552,0.0026,0.0022
01/09/2015,10.0,Put,BBRY  150109P00010000,0.040,0.03,0.05,-0.01,-11.1111,0,253,0.0400,0.4777,50.6503,-0.0991,0.2123,-0.0080,-26.5574,0.0030,-0.0003
01/09/2015,10.5,Call,BBRY  150109C00010500,0.600,0.59,0.61,-0.03,-4.7619,117,1017,0.6000,0.4471,44.44,0.7493,0.4128,-0.0137,-30.2150,0.0055,0.0019
01/09/2015,10.5,Put,BBRY  150109P00010500,0.110,0.10,0.12,-0.01,-8.3333,351,354,0.1100,0.4291,44.44,-0.2425,0.4240,-0.0129,-32.9178,0.0054,-0.0006
01/09/2015,11.0,Call,BBRY  150109C00011000,0.285,0.27,0.30,-0.02,-8.0645,845,1569,0.2850,0.4281,40.9071,0.5029,0.5405,-0.0164,-32.9908,0.0069,0.0013
01/09/2015,11.0,Put,BBRY  150109P00011000,0.300,0.29,0.31,-0.01,-3.2258,26,314,0.3000,0.421,40.9071,-0.4976,0.5518,-0.0161,-34.2132,0.0069,-0.0013
01/09/2015,11.5,Call,BBRY  150109C00011500,0.110,0.10,0.12,-0.02,-15.3846,291,566,0.1100,0.4278,40.2964,0.2564,0.4366,-0.0132,-33.0523,0.0056,0.0007
