expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/02/2015,475.0,Call,GOOG  150102C00475000,51.250,49.80,52.70,-4.30,-7.7408,0,8,51.4045,0.2052,52.687,1.0000,0.0000,-0.0022,-0.0000,0.0000,0.0260
01/02/2015,475.0,Put,GOOG  150102P00475000,0.000,0.00,0.10,0.00,0,0,23,0.0000,0.1561,52.687,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/02/2015,480.0,Call,GOOG  150102C00480000,46.500,45.00,48.00,-4.05,-8.0119,0,1,46.4045,0.2052,48.311,1.0000,0.0000,-0.0023,-0.0000,0.0000,0.0263
01/02/2015,480.0,Put,GOOG  150102P00480000,0.000,0.00,0.05,0.00,0,0,71,0.0000,0.1561,48.311,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/02/2015,485.0,Call,GOOG  150102C00485000,41.850,40.00,43.70,-3.75,-8.2237,0,0,41.4046,0.2052,44.0091,1.0000,0.0000,-0.0023,-0.0000,0.0000,0.0266
01/02/2015,485.0,Put,GOOG  150102P00485000,0.000,0.00,0.05,0.00,0,0,56,0.0000,0.1561,44.0091,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/02/2015,490.0,Call,GOOG  150102C00490000,36.300,34.90,37.70,-4.25,-10.4809,0,7,36.4046,0.2052,39.7887,1.0000,0.0000,-0.0023,-0.0004,0.0000,0.0268
01/02/2015,490.0,Put,GOOG  150102P00490000,0.000,0.00,0.05,0.00,0,5,199,0.0000,0.1561,39.7887,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/02/2015,495.0,Call,GOOG  150102C00495000,31.400,30.10,32.70,-4.20,-11.7977,0,12,31.4047,0.2052,35.6608,1.0000,0.0000,-0.0025,-0.0051,0.0000,0.0271
01/02/2015,495.0,Put,GOOG  150102P00495000,0.000,0.00,0.05,0.00,0,1,328,0.0000,0.1561,35.6608,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/02/2015,497.5,Call,GOOG  150102C00497500,29.500,27.60,31.40,-3.60,-10.8761,0,5,28.9049,0.2052,33.6364,0.9999,0.0000,-0.0031,-0.0154,0.0002,0.0273
01/02/2015,497.5,Put,GOOG  150102P00497500,0.000,0.00,0.05,0.00,0,0,37,0.0000,0.1561,33.6364,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000
01/02/2015,500.0,Call,GOOG  150102C00500000,26.550,25.10,28.00,-4.05,-13.2353,1,43,26.4054,0.2052,31.642,0.9997,0.0002,-0.0048,-0.0322,0.0005,0.0274
01/02/2015,500.0,Put,GOOG  150102P00500000,0.000,0.00,0.05,0.00,0,1,291,0.0000,0.1561,31.642,-0.0000,0.0000,-0.0000,-0.1034,0.0000,-0.0000
01/02/2015,502.5,Call,GOOG  150102C00502500,23.900,22.60,25.20,-4.20,-14.9466,0,3,23.9072,0.2052,29.6811,0.9989,0.0005,-0.0096,-0.0472,0.0014,0.0275
01/02/2015,502.5,Put,GOOG  150102P00502500,0.000,0.00,0.05,0.00,0,1,30,0.0000,0.1561,29.6811,-0.0000,0.0000,-0.0002,-0.1099,0.0000,-0.0000
01/02/2015,505.0,Call,GOOG  150102C00505000,21.800,20.90,22.70,-3.80,-14.8438,0,4,21.4122,0.2052,27.7582,0.9969,0.0012,-0.0210,-0.0556,0.0036,0.0276
01/02/2015,505.0,Put,GOOG  150102P00505000,0.000,0.00,0.05,0.00,0,0,31,0.0002,0.1561,27.7582,-0.0002,0.0001,-0.0009,-0.1078,0.0002,-0.0000
01/02/2015,507.5,Call,GOOG  150102C00507500,19.400,18.60,20.20,-3.85,-16.5591,0,0,18.9256,0.2052,25.8791,0.9921,0.0027,-0.0455,-0.0593,0.0084,0.0276
01/02/2015,507.5,Put,GOOG  150102P00507500,0.000,0.00,0.05,0.00,0,0,53,0.0013,0.1561,25.8791,-0.0008,0.0004,-0.0040,-0.1080,0.0010,-0.0000
01/02/2015,510.0,Call,GOOG  150102C00510000,16.850,16.10,17.60,-4.00,-19.1846,4,168,16.4579,0.2052,24.0511,0.9818,0.0056,-0.0917,-0.0610,0.0174,0.0274
01/02/2015,510.0,Put,GOOG  150102P00510000,0.000,0.00,0.10,0.00,0,9,245,0.0056,0.1561,24.0511,-0.0030,0.0015,-0.0140,-0.1081,0.0036,-0.0001
01/02/2015,512.5,Call,GOOG  150102C00512500,14.550,13.70,15.40,-3.85,-20.9239,4,70,14.0285,0.2052,22.2838,0.9616,0.0104,-0.1688,-0.0617,0.0324,0.0270
01/02/2015,512.5,Put,GOOG  150102P00512500,0.000,0.00,0.10,-0.10,-100,3,176,0.0209,0.1561,22.2838,-0.0101,0.0044,-0.0409,-0.1081,0.0105,-0.0003
01/02/2015,515.0,Call,GOOG  150102C00515000,12.050,11.20,12.90,-3.90,-24.4514,10,63,11.6689,0.2052,20.5894,0.9264,0.0174,-0.2810,-0.0621,0.0543,0.0261
01/02/2015,515.0,Put,GOOG  150102P00515000,0.100,0.05,0.15,-0.05,-33.3333,41,444,0.0673,0.1561,20.5894,-0.0286,0.0108,-0.0995,-0.1082,0.0255,-0.0008
01/02/2015,517.5,Call,GOOG  150102C00517500,9.700,8.90,10.50,-3.80,-28.1482,2,68,9.4242,0.2052,18.9841,0.8710,0.0263,-0.4228,-0.0623,0.0820,0.0246
01/02/2015,517.5,Put,GOOG  150102P00517500,0.225,0.15,0.30,-0.02,-10,83,414,0.1865,0.1561,18.9841,-0.0692,0.0219,-0.2021,-0.1082,0.0518,-0.0020
01/02/2015,520.0,Call,GOOG  150102C00520000,7.350,6.70,8.00,-3.75,-33.7838,58,167,7.3500,0.2052,17.4886,0.7921,0.0358,-0.5746,-0.0624,0.1116,0.0224
01/02/2015,520.0,Put,GOOG  150102P00520000,0.450,0.35,0.55,0.02,5.8823,188,563,0.4500,0.1561,17.4886,-0.1431,0.0372,-0.3442,-0.1082,0.0897,-0.0039
