expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/02/2015,6.0,Call,JCP   150102C00006000,0.485,0.47,0.50,0.00,0,30,306,0.4804,0.4152,41.5286,0.9941,0.0838,-0.0009,-97.5064,0.0001,0.0003
01/02/2015,6.0,Put,JCP   150102P00006000,0.000,0.00,0.02,-0.03,-100,0,1866,0.0001,0.3628,41.5286,-0.0020,0.0363,-0.0003,-132.0000,0.0000,-0.0000
01/02/2015,6.5,Call,JCP   150102C00006500,0.070,0.06,0.08,-0.01,-6.6667,727,3603,0.0700,0.4152,41.5286,0.4663,1.9960,-0.0198,-100.7763,0.0019,0.0002
01/02/2015,6.5,Put,JCP   150102P00006500,0.080,0.07,0.09,-0.04,-33.3333,84,6289,0.0800,0.3628,41.5286,-0.5403,2.2910,-0.0173,-132.1976,0.0019,-0.0002
01/02/2015,7.0,Call,JCP   150102C00007000,0.000,0.00,0.01,-0.01,-100,330,3536,0.0004,0.4152,41.5286,0.0063,0.0889,-0.0009,-100.8322,0.0001,0.0000
01/02/2015,7.0,Put,JCP   150102P00007000,0.515,0.45,0.58,-0.02,-4.6296,103,537,0.5201,0.3628,41.5286,-0.9982,0.0363,-0.0002,-149.9793,0.0000,-0.0001
01/09/2015,6.0,Call,JCP   150109C00006000,0.545,0.48,0.61,0.00,0,0,158,0.5450,0.5867,57.1022,0.8111,0.4530,-0.0090,-50.3859,0.0028,0.0012
01/09/2015,6.0,Put,JCP   150109P00006000,0.075,0.06,0.09,-0.02,-16.6667,500,1005,0.0750,0.6231,57.1022,-0.2013,0.4450,-0.0099,-44.7996,0.0029,-0.0003
01/09/2015,6.5,Call,JCP   150109C00006500,0.200,0.19,0.21,0.00,2.5641,380,837,0.2000,0.516,57.1022,0.5012,0.7599,-0.0117,-65.2179,0.0041,0.0008
01/09/2015,6.5,Put,JCP   150109P00006500,0.215,0.20,0.23,-0.03,-12.2449,237,602,0.2150,0.5037,57.1022,-0.4996,0.7814,-0.0114,-68.6200,0.0041,-0.0008
01/09/2015,7.0,Call,JCP   150109C00007000,0.065,0.05,0.08,0.02,44.4444,97,3295,0.0650,0.5705,57.1022,0.2072,0.4925,-0.0092,-53.3718,0.0029,0.0003
01/09/2015,7.0,Put,JCP   150109P00007000,0.540,0.50,0.58,-0.03,-4.4248,0,38,0.5400,0.389,57.1022,-0.8917,0.4717,-0.0041,-115.7465,0.0019,-0.0011
01/17/2015,6.0,Call,JCP   150117C00006000,0.635,0.61,0.66,0.02,4.0984,0,2502,0.6350,0.658,65.0878,0.7350,0.3669,-0.0092,-40.0668,0.0044,0.0018
01/17/2015,6.0,Put,JCP   150117P00006000,0.150,0.14,0.16,-0.02,-11.7647,122,30726,0.1500,0.6472,65.0878,-0.2621,0.3724,-0.0090,-41.5417,0.0045,-0.0008
01/17/2015,6.5,Call,JCP   150117C00006500,0.305,0.29,0.32,0.03,8.9286,3862,3794,0.3050,0.5808,57.1183,0.5144,0.5059,-0.0098,-51.4566,0.0054,0.0013
01/17/2015,6.5,Put,JCP   150117P00006500,0.325,0.31,0.34,-0.01,-2.9851,30,3315,0.3250,0.5811,57.1183,-0.4856,0.5078,-0.0098,-51.5621,0.0054,-0.0014
01/17/2015,7.0,Call,JCP   150117C00007000,0.110,0.10,0.12,-0.00,-4.3478,369,18013,0.1100,0.5354,51.9982,0.2637,0.4498,-0.0074,-60.5810,0.0044,0.0007
01/17/2015,7.0,Put,JCP   150117P00007000,0.635,0.61,0.66,-0.02,-3.0534,23,34318,0.6350,0.5473,51.9982,-0.7312,0.4460,-0.0077,-58.2314,0.0046,-0.0020
01/23/2015,6.0,Call,JCP   150123C00006000,0.685,0.65,0.72,0.03,4.5802,0,149,0.6850,0.6404,62.6495,0.7122,0.3274,-0.0077,-42.2940,0.0055,0.0025
01/23/2015,6.0,Put,JCP   150123P00006000,0.195,0.18,0.21,-0.02,-7.1429,0,470,0.1950,0.6233,62.6495,-0.2838,0.3357,-0.0075,-44.8099,0.0056,-0.0012
01/23/2015,6.5,Call,JCP   150123C00006500,0.355,0.33,0.38,0.01,1.4286,542,454,0.3550,0.5614,55.6637,0.5197,0.4363,-0.0079,-55.0555,0.0065,0.0019
01/23/2015,6.5,Put,JCP   150123P00006500,0.375,0.35,0.40,-0.02,-5.0633,103,554,0.3750,0.562,55.6637,-0.4803,0.4378,-0.0079,-55.1638,0.0065,-0.0020
01/23/2015,7.0,Call,JCP   150123C00007000,0.150,0.14,0.16,0.01,3.4483,40,631,0.1500,0.5193,50.3853,0.2994,0.4112,-0.0064,-64.3880,0.0057,0.0011
01/23/2015,7.0,Put,JCP   150123P00007000,0.670,0.64,0.70,-0.03,-3.5971,0,245,0.6700,0.5204,50.3853,-0.7005,0.4123,-0.0064,-64.4365,0.0058,-0.0027
01/30/2015,6.0,Call,JCP   150130C00006000,0.720,0.67,0.77,0.02,2.8571,20,40,0.7200,0.6152,62.0935,0.7003,0.3041,-0.0066,-45.8073,0.0065,0.0031
01/30/2015,6.0,Put,JCP   150130P00006000,0.240,0.22,0.26,-0.02,-7.6923,23,250,0.2400,0.6159,62.0935,-0.2997,0.3049,-0.0066,-45.9101,0.0064,-0.0017
01/30/2015,6.5,Call,JCP   150130C00006500,0.410,0.39,0.43,0.02,3.7975,1935,728,0.4100,0.5658,55.8743,0.5251,0.3788,-0.0070,-54.2005,0.0074,0.0025
01/30/2015,6.5,Put,JCP   150130P00006500,0.435,0.41,0.46,-0.02,-4.3956,131,2105,0.4350,0.5733,55.8743,-0.4744,0.3755,-0.0071,-53.0202,0.0074,-0.0026
01/30/2015,7.0,Call,JCP   150130C00007000,0.200,0.17,0.23,0.01,2.5641,13,552,0.2000,0.5302,51.5652,0.3333,0.3691,-0.0060,-61.7584,0.0068,0.0016
