expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/30/2015,35.0,Call,YELP  150130C00035000,17.650,16.80,18.50,-0.70,-3.8147,0,0,17.9302,0.6603,252.0441,1.0000,0.0000,-0.0002,-0.0000,0.0000,0.0010
01/30/2015,35.0,Put,YELP  150130P00035000,0.000,0.00,0.25,0.00,0,0,0,0.0000,0.6603,252.0441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,40.0,Call,YELP  150130C00040000,12.850,12.10,13.60,-0.15,-1.1538,0,0,12.9302,0.6603,168.1619,1.0000,0.0000,-0.0002,-0.0000,0.0000,0.0011
01/30/2015,40.0,Put,YELP  150130P00040000,0.000,0.00,0.15,0.00,0,12,12,0.0000,0.6603,168.1619,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/30/2015,45.0,Call,YELP  150130C00045000,7.750,7.10,8.40,-0.55,-6.6265,0,0,7.9302,0.6603,97.965,1.0000,0.0000,-0.0002,-0.0140,0.0000,0.0012
01/30/2015,45.0,Put,YELP  150130P00045000,0.000,0.00,0.05,0.00,0,12,137,0.0000,0.6603,97.965,-0.0000,0.0000,-0.0000,-0.6000,0.0000,-0.0000
01/30/2015,45.5,Call,YELP  150130C00045500,7.300,6.60,8.00,-0.35,-4.5752,0,0,7.4302,0.6603,91.8769,1.0000,0.0000,-0.0002,-0.0593,0.0000,0.0012
01/30/2015,45.5,Put,YELP  150130P00045500,0.000,0.00,0.05,0.00,0,0,7,0.0000,0.6603,91.8769,-0.0000,0.0000,-0.0000,-0.6087,0.0000,-0.0000
01/30/2015,46.0,Call,YELP  150130C00046000,6.650,5.90,7.40,-0.50,-6.993,0,0,6.9302,0.6603,86.017,1.0000,0.0001,-0.0003,-0.1743,0.0000,0.0013
01/30/2015,46.0,Put,YELP  150130P00046000,0.000,0.00,0.25,0.00,0,0,86,0.0000,0.6603,86.017,-0.0000,0.0001,-0.0001,-0.5889,0.0000,-0.0000
01/30/2015,46.5,Call,YELP  150130C00046500,6.250,5.60,6.90,-0.40,-6.015,0,0,6.4303,0.6603,80.4132,0.9999,0.0002,-0.0005,-0.3487,0.0000,0.0013
01/30/2015,46.5,Put,YELP  150130P00046500,0.000,0.00,0.25,0.00,0,0,35,0.0000,0.6603,80.4132,-0.0001,0.0002,-0.0003,-0.5967,0.0000,-0.0000
01/30/2015,47.0,Call,YELP  150130C00047000,5.700,4.90,6.50,-0.45,-7.3171,0,5,5.9303,0.6603,75.1003,0.9997,0.0006,-0.0012,-0.4835,0.0000,0.0013
01/30/2015,47.0,Put,YELP  150130P00047000,0.000,0.00,0.25,0.00,0,0,41,0.0001,0.6603,75.1003,-0.0003,0.0006,-0.0009,-0.5970,0.0000,-0.0000
01/30/2015,47.5,Call,YELP  150130C00047500,5.300,4.60,6.00,-0.35,-6.1947,0,0,5.4306,0.6603,70.121,0.9992,0.0015,-0.0028,-0.5501,0.0001,0.0013
01/30/2015,47.5,Put,YELP  150130P00047500,0.000,0.00,0.15,0.00,0,0,70,0.0004,0.6603,70.121,-0.0008,0.0015,-0.0026,-0.5977,0.0001,-0.0000
01/30/2015,48.0,Call,YELP  150130C00048000,4.700,3.90,5.50,-0.45,-8.7379,0,0,4.9314,0.6603,65.5275,0.9978,0.0038,-0.0066,-0.5772,0.0002,0.0013
01/30/2015,48.0,Put,YELP  150130P00048000,0.000,0.00,0.25,0.00,0,0,56,0.0012,0.6603,65.5275,-0.0022,0.0038,-0.0064,-0.5975,0.0002,-0.0000
01/30/2015,48.5,Call,YELP  150130C00048500,4.200,3.40,5.00,-0.45,-9.6774,0,0,4.4334,0.6603,61.3817,0.9946,0.0085,-0.0145,-0.5883,0.0004,0.0013
01/30/2015,48.5,Put,YELP  150130P00048500,0.000,0.00,0.25,0.00,0,0,36,0.0032,0.6603,61.3817,-0.0054,0.0085,-0.0143,-0.5977,0.0004,-0.0000
01/30/2015,49.0,Call,YELP  150130C00049000,3.800,3.10,4.50,-0.40,-9.5238,0,0,3.9381,0.6603,57.755,0.9878,0.0174,-0.0293,-0.5930,0.0009,0.0013
01/30/2015,49.0,Put,YELP  150130P00049000,0.000,0.00,0.25,0.00,0,0,26,0.0078,0.6603,57.755,-0.0122,0.0174,-0.0291,-0.5976,0.0009,-0.0000
01/30/2015,49.5,Call,YELP  150130C00049500,3.250,2.50,4.00,-0.45,-12.1622,0,0,3.4479,0.6603,54.7249,0.9748,0.0322,-0.0541,-0.5951,0.0016,0.0013
01/30/2015,49.5,Put,YELP  150130P00049500,0.000,0.00,0.15,0.00,0,0,134,0.0177,0.6603,54.7249,-0.0252,0.0322,-0.0539,-0.5977,0.0016,-0.0000
01/30/2015,50.0,Call,YELP  150130C00050000,2.750,2.00,3.50,-0.45,-14.0625,0,60,2.9671,0.6603,52.3692,0.9520,0.0545,-0.0915,-0.5961,0.0028,0.0013
01/30/2015,50.0,Put,YELP  150130P00050000,0.000,0.00,0.25,-0.15,-100,6,70,0.0369,0.6603,52.3692,-0.0480,0.0545,-0.0912,-0.5977,0.0028,-0.0001
01/30/2015,50.5,Call,YELP  150130C00050500,2.300,1.65,2.95,-0.40,-14.8148,0,20,2.5018,0.6603,50.7562,0.9158,0.0845,-0.1416,-0.5967,0.0043,0.0013
01/30/2015,50.5,Put,YELP  150130P00050500,0.000,0.00,0.15,-0.15,-100,10,33,0.0715,0.6603,50.7562,-0.0842,0.0845,-0.1413,-0.5977,0.0043,-0.0001
01/30/2015,51.0,Call,YELP  150130C00051000,2.025,1.60,2.45,-0.27,-11.9565,0,7,2.0597,0.6603,49.9329,0.8626,0.1201,-0.2012,-0.5970,0.0061,0.0012
01/30/2015,51.0,Put,YELP  150130P00051000,0.000,0.00,0.20,-0.17,-100,23,78,0.1295,0.6603,49.9329,-0.1370,0.1203,-0.2012,-0.5977,0.0062,-0.0002
01/30/2015,51.5,Call,YELP  150130C00051500,1.650,1.45,1.85,-0.25,-13.1579,7,8,1.6500,0.6603,49.9139,0.7910,0.1571,-0.2631,-0.5972,0.0080,0.0011
01/30/2015,51.5,Put,YELP  150130P00051500,0.125,0.05,0.20,-0.15,-54.5455,303,80,0.2198,0.6603,49.9139,-0.2090,0.1571,-0.2628,-0.5977,0.0080,-0.0003
01/30/2015,52.0,Call,YELP  150130C00052000,1.200,1.00,1.40,-0.33,-21.3115,10,124,1.2000,0.5736,50.6771,0.7276,0.2090,-0.2641,-0.7914,0.0092,0.0010
01/30/2015,52.0,Put,YELP  150130P00052000,0.200,0.15,0.25,-0.20,-50,610,279,0.2000,0.4955,50.6771,-0.2427,0.2287,-0.2154,-1.0617,0.0089,-0.0003
01/30/2015,52.5,Call,YELP  150130C00052500,0.800,0.70,0.90,-0.42,-34.6939,4,48,0.8000,0.5076,52.1667,0.6257,0.2695,-0.2666,-1.0108,0.0105,0.0009
01/30/2015,52.5,Put,YELP  150130P00052500,0.375,0.30,0.45,-0.20,-34.7826,383,244,0.3750,0.5126,52.1667,-0.3752,0.2684,-0.2705,-0.9922,0.0105,-0.0005
01/30/2015,53.0,Call,YELP  150130C00053000,0.575,0.45,0.70,-0.35,-37.8378,77,257,0.5750,0.5509,54.3029,0.4875,0.2613,-0.3044,-0.8583,0.0110,0.0007
01/30/2015,53.0,Put,YELP  150130P00053000,0.625,0.55,0.70,-0.20,-24.2424,10,132,0.6250,0.5323,54.3029,-0.5133,0.2714,-0.2950,-0.9200,0.0111,-0.0007
01/30/2015,53.5,Call,YELP  150130C00053500,0.400,0.35,0.45,-0.33,-44.8276,119,80,0.4000,0.5807,56.9946,0.3680,0.2343,-0.3033,-0.7725,0.0104,0.0005
01/30/2015,53.5,Put,YELP  150130P00053500,0.925,0.85,1.00,-0.18,-15.9091,4,49,0.9250,0.5373,56.9946,-0.6432,0.2516,-0.2786,-0.9032,0.0105,-0.0009
01/30/2015,54.0,Call,YELP  150130C00054000,0.275,0.20,0.35,-0.25,-47.619,6,25,0.2750,0.6093,60.1504,0.2705,0.1960,-0.2794,-0.7016,0.0092,0.0004
01/30/2015,54.0,Put,YELP  150130P00054000,1.275,1.15,1.40,-0.18,-12.069,2,475,1.2750,0.5309,60.1504,-0.7603,0.2121,-0.2292,-0.9253,0.0084,-0.0010
01/30/2015,54.5,Call,YELP  150130C00054500,0.175,0.10,0.25,-0.23,-56.25,10,128,0.1669,0.6093,63.686,0.1840,0.1576,-0.2246,-0.7017,0.0074,0.0003
01/30/2015,54.5,Put,YELP  150130P00054500,1.625,1.40,1.85,-0.23,-12.1622,0,80,1.6825,0.5309,63.686,-0.8507,0.1585,-0.1712,-0.9257,0.0065,-0.0010
01/30/2015,55.0,Call,YELP  150130C00055000,0.150,0.05,0.25,-0.15,-50,60,1337,0.0960,0.6093,67.5277,0.1177,0.1169,-0.1665,-0.7017,0.0055,0.0002
01/30/2015,55.0,Put,YELP  150130P00055000,2.125,1.95,2.30,-0.08,-3.4091,10,214,2.1271,0.5309,67.5277,-0.9141,0.1066,-0.1151,-0.9264,0.0043,-0.0014
01/30/2015,55.5,Call,YELP  150130C00055500,0.000,0.00,0.20,-0.23,-100,23,485,0.0522,0.6093,71.6136,0.0707,0.0802,-0.1142,-0.7017,0.0037,0.0001
01/30/2015,55.5,Put,YELP  150130P00055500,2.575,2.35,2.80,-0.08,-2.8302,0,27,2.5969,0.5309,71.6136,-0.9547,0.0648,-0.0698,-0.9278,0.0026,-0.0015
01/30/2015,56.0,Call,YELP  150130C00056000,0.000,0.00,0.15,-0.17,-100,58,437,0.0269,0.6093,75.8924,0.0399,0.0510,-0.0726,-0.7017,0.0024,0.0001
01/30/2015,56.0,Put,YELP  150130P00056000,3.075,2.85,3.30,-0.03,-0.8065,0,28,3.0816,0.5309,75.8924,-0.9780,0.0356,-0.0383,-0.9307,0.0015,-0.0015
01/30/2015,56.5,Call,YELP  150130C00056500,0.000,0.00,0.10,-0.17,-100,0,340,0.0131,0.6093,80.3228,0.0212,0.0301,-0.0429,-0.7017,0.0014,0.0000
01/30/2015,56.5,Put,YELP  150130P00056500,3.600,3.40,3.80,0.05,1.4084,1,101,3.5746,0.5309,80.3228,-0.9902,0.0178,-0.0190,-0.9372,0.0007,-0.0015
01/30/2015,57.0,Call,YELP  150130C00057000,0.000,0.00,0.20,-0.15,-100,115,444,0.0060,0.6093,84.8713,0.0105,0.0165,-0.0235,-0.7017,0.0008,0.0000
01/30/2015,57.0,Put,YELP  150130P00057000,4.100,3.90,4.30,0.25,6.4935,1,51,4.0716,0.5309,84.8713,-0.9962,0.0077,-0.0081,-0.9549,0.0003,-0.0006
01/30/2015,57.5,Call,YELP  150130C00057500,0.000,0.00,0.10,-0.12,-100,23,6535,0.0026,0.6093,89.5108,0.0049,0.0085,-0.0121,-0.7017,0.0004,0.0000
01/30/2015,57.5,Put,YELP  150130P00057500,4.500,4.20,4.80,0.30,7.1429,0,0,4.5705,0.5309,89.5108,-0.9987,0.0031,-0.0031,-1.0052,0.0001,-0.0003
01/30/2015,58.0,Call,YELP  150130C00058000,0.000,0.00,0.15,0.00,0,2,403,0.0011,0.6093,94.2197,0.0022,0.0040,-0.0058,-0.7019,0.0002,0.0000
01/30/2015,58.0,Put,YELP  150130P00058000,5.000,4.70,5.30,0.80,19.0476,0,8,5.0701,0.5309,94.2197,-0.9996,0.0011,-0.0010,-1.1845,0.0000,-0.0001
01/30/2015,58.5,Call,YELP  150130C00058500,0.000,0.00,0.25,0.00,0,1,236,0.0004,0.6093,98.9806,0.0009,0.0018,-0.0026,-0.7015,0.0001,0.0000
01/30/2015,58.5,Put,YELP  150130P00058500,5.500,5.20,5.80,0.80,17.0213,0,0,5.5700,0.5309,98.9806,-0.9999,0.0004,-0.0001,-2.4315,0.0000,-0.0000
01/30/2015,59.0,Call,YELP  150130C00059000,0.000,0.00,0.25,0.00,0,1,113,0.0002,0.6093,103.7791,0.0004,0.0008,-0.0011,-0.7011,0.0000,0.0000
01/30/2015,59.0,Put,YELP  150130P00059000,6.000,5.70,6.30,0.95,18.8119,0,1,6.0700,0.5309,103.7791,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,59.5,Call,YELP  150130C00059500,0.000,0.00,0.10,0.00,0,0,191,0.0001,0.6093,108.604,0.0001,0.0003,-0.0004,-0.7026,0.0000,0.0000
01/30/2015,59.5,Put,YELP  150130P00059500,6.650,6.50,6.80,1.10,19.8198,6,6,6.5700,0.5309,108.604,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,60.0,Call,YELP  150130C00060000,0.000,0.00,0.05,0.00,0,30,155,0.0000,0.6093,113.4457,0.0000,0.0001,-0.0002,-0.7025,0.0000,0.0000
01/30/2015,60.0,Put,YELP  150130P00060000,7.150,7.00,7.30,1.10,18.1818,13,13,7.0700,0.5309,113.4457,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,60.5,Call,YELP  150130C00060500,0.000,0.00,0.25,0.00,0,0,69,0.0000,0.6093,118.2966,0.0000,0.0000,-0.0001,-0.7091,0.0000,0.0000
01/30/2015,60.5,Put,YELP  150130P00060500,7.400,7.00,7.80,0.85,12.9771,0,0,7.5700,0.5309,118.2966,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,61.0,Call,YELP  150130C00061000,0.000,0.00,0.25,0.00,0,1,22,0.0000,0.6093,123.1504,0.0000,0.0000,-0.0000,-0.7222,0.0000,0.0000
01/30/2015,61.0,Put,YELP  150130P00061000,7.950,7.60,8.30,0.90,12.766,0,3,8.0700,0.5309,123.1504,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,61.5,Call,YELP  150130C00061500,0.000,0.00,0.25,0.00,0,1,4,0.0000,0.6093,128.002,0.0000,0.0000,-0.0000,-0.6667,0.0000,0.0000
01/30/2015,61.5,Put,YELP  150130P00061500,8.400,8.00,8.80,0.80,10.5263,0,1,8.5700,0.5309,128.002,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,62.0,Call,YELP  150130C00062000,0.000,0.00,0.25,0.00,0,0,41,0.0000,0.6093,132.847,0.0000,0.0000,-0.0000,-0.5000,0.0000,0.0000
01/30/2015,62.0,Put,YELP  150130P00062000,8.950,8.60,9.30,1.00,12.5786,0,1,9.0700,0.5309,132.847,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,63.0,Call,YELP  150130C00063000,0.000,0.00,0.25,0.00,0,0,0,0.0000,0.6093,142.5037,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
01/30/2015,63.0,Put,YELP  150130P00063000,9.900,9.50,10.30,0.90,10,0,0,10.0700,0.5309,142.5037,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,65.0,Call,YELP  150130C00065000,0.000,0.00,0.15,0.00,0,0,176,0.0000,0.6093,161.617,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
01/30/2015,65.0,Put,YELP  150130P00065000,11.700,11.10,12.30,0.55,4.9327,0,0,12.0700,0.5309,161.617,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/30/2015,70.0,Call,YELP  150130C00070000,0.000,0.00,0.05,0.00,0,0,67,0.0000,0.6093,207.7907,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
01/30/2015,70.0,Put,YELP  150130P00070000,16.900,16.50,17.30,0.95,5.9561,0,0,17.0700,0.5309,207.7907,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
02/06/2015,42.0,Call,YELP  150206C00042000,10.900,10.10,11.70,-0.75,-6.4378,0,0,11.0232,0.8775,97.2379,0.9675,0.0106,-0.0314,-0.3364,0.0057,0.0088
02/06/2015,42.0,Put,YELP  150206P00042000,0.175,0.10,0.25,0.00,0,1,2,0.1692,0.9907,97.2379,-0.0494,0.0132,-0.0496,-0.2656,0.0080,-0.0006
02/06/2015,43.0,Call,YELP  150206C00043000,9.950,9.20,10.70,-0.65,-6.1321,0,0,10.0756,0.8775,97.6221,0.9520,0.0145,-0.0431,-0.3369,0.0078,0.0088
02/06/2015,43.0,Put,YELP  150206P00043000,0.225,0.15,0.30,-0.02,-10,10,0,0.2467,0.9907,97.6221,-0.0681,0.0169,-0.0638,-0.2656,0.0103,-0.0008
02/06/2015,44.0,Call,YELP  150206C00044000,9.150,8.50,9.80,-0.45,-4.6875,0,0,9.1500,0.8775,97.8833,0.9316,0.0192,-0.0569,-0.3373,0.0103,0.0088
02/06/2015,44.0,Put,YELP  150206P00044000,0.350,0.25,0.45,0.03,7.6923,0,0,0.3500,0.9907,97.8833,-0.0909,0.0211,-0.0795,-0.2656,0.0130,-0.0011
02/06/2015,45.0,Call,YELP  150206C00045000,8.500,8.20,8.80,-0.05,-0.5848,0,0,8.5000,1.0434,98.0306,0.8704,0.0258,-0.1081,-0.2390,0.0165,0.0082
02/06/2015,45.0,Put,YELP  150206P00045000,0.450,0.35,0.55,-0.03,-5.2632,31,143,0.4500,0.9688,98.0306,-0.1144,0.0255,-0.0917,-0.2777,0.0152,-0.0014
02/06/2015,45.5,Call,YELP  150206C00045500,8.100,7.80,8.40,-0.05,-0.6135,0,10,8.1000,1.0506,98.0639,0.8533,0.0279,-0.1184,-0.2357,0.0180,0.0081
02/06/2015,45.5,Put,YELP  150206P00045500,0.500,0.40,0.60,-0.05,-9.0909,0,0,0.5000,0.9522,98.0639,-0.1261,0.0278,-0.0968,-0.2874,0.0166,-0.0015
02/06/2015,46.0,Call,YELP  150206C00046000,7.650,7.40,7.90,-0.05,-0.6493,0,0,7.6500,1.0257,98.0717,0.8414,0.0301,-0.1217,-0.2473,0.0190,0.0081
02/06/2015,46.0,Put,YELP  150206P00046000,0.600,0.50,0.70,-0.02,-4,4,2,0.6000,0.9616,98.0717,-0.1452,0.0303,-0.1074,-0.2819,0.0179,-0.0018
02/06/2015,46.5,Call,YELP  150206C00046500,7.250,7.00,7.50,-0.10,-1.3605,0,0,7.2500,1.0237,98.0546,0.8240,0.0323,-0.1299,-0.2483,0.0203,0.0080
02/06/2015,46.5,Put,YELP  150206P00046500,0.725,0.65,0.80,0.00,0,0,45,0.7250,0.9769,98.0546,-0.1665,0.0326,-0.1194,-0.2731,0.0196,-0.0021
02/06/2015,47.0,Call,YELP  150206C00047000,6.850,6.60,7.10,-0.10,-1.4388,1,1,6.8500,1.0171,98.0135,0.8064,0.0344,-0.1369,-0.2516,0.0215,0.0079
02/06/2015,47.0,Put,YELP  150206P00047000,0.825,0.75,0.90,-0.05,-5.7143,10,102,0.8250,0.9727,98.0135,-0.1845,0.0351,-0.1274,-0.2755,0.0205,-0.0022
02/06/2015,47.5,Call,YELP  150206C00047500,6.450,6.20,6.70,-0.10,-1.5267,0,0,6.4500,1.0064,97.9491,0.7885,0.0367,-0.1428,-0.2570,0.0227,0.0077
02/06/2015,47.5,Put,YELP  150206P00047500,0.925,0.85,1.00,-0.05,-5.1282,13,13,0.9250,0.9641,97.9491,-0.2031,0.0375,-0.1338,-0.2804,0.0223,-0.0024
02/06/2015,48.0,Call,YELP  150206C00048000,6.000,5.80,6.20,-0.15,-2.439,153,0,6.0000,0.9709,97.8621,0.7741,0.0395,-0.1431,-0.2761,0.0236,0.0077
02/06/2015,48.0,Put,YELP  150206P00048000,1.025,0.95,1.10,-0.08,-6.8182,1,90,1.0250,0.9524,97.8621,-0.2220,0.0401,-0.1394,-0.2874,0.0241,-0.0026
02/06/2015,48.5,Call,YELP  150206C00048500,5.750,5.50,6.00,-0.10,-1.7094,0,0,5.7500,1.0141,97.7531,0.7446,0.0404,-0.1598,-0.2531,0.0252,0.0074
02/06/2015,48.5,Put,YELP  150206P00048500,1.200,1.10,1.30,-0.02,-2.0408,5,7,1.2000,0.9666,97.7531,-0.2472,0.0419,-0.1501,-0.2790,0.0242,-0.0029
02/06/2015,49.0,Call,YELP  150206C00049000,5.400,5.10,5.70,-0.10,-1.8182,4,0,5.4000,1.0107,97.6228,0.7226,0.0423,-0.1660,-0.2548,0.0263,0.0072
02/06/2015,49.0,Put,YELP  150206P00049000,1.350,1.25,1.45,-0.02,-1.8182,1,26,1.3500,0.9646,97.6228,-0.2701,0.0439,-0.1568,-0.2802,0.0258,-0.0032
02/06/2015,49.5,Call,YELP  150206C00049500,5.050,4.80,5.30,-0.15,-2.8846,0,0,5.0500,1.003,97.4717,0.7005,0.0442,-0.1708,-0.2588,0.0272,0.0070
02/06/2015,49.5,Put,YELP  150206P00049500,1.500,1.40,1.60,-0.05,-3.2258,0,0,1.5000,0.9585,97.4717,-0.2933,0.0460,-0.1621,-0.2837,0.0273,-0.0035
02/06/2015,50.0,Call,YELP  150206C00050000,4.750,4.50,5.00,-0.05,-1.0417,49,17,4.7500,1.0091,97.3004,0.6759,0.0455,-0.1778,-0.2557,0.0282,0.0068
02/06/2015,50.0,Put,YELP  150206P00050000,1.650,1.55,1.75,-0.08,-4.3478,20,1232,1.6500,0.949,97.3004,-0.3169,0.0481,-0.1662,-0.2895,0.0274,-0.0038
02/06/2015,50.5,Call,YELP  150206C00050500,4.400,4.20,4.60,-0.10,-2.2222,0,0,4.4000,0.9931,97.1094,0.6530,0.0474,-0.1797,-0.2640,0.0289,0.0066
02/06/2015,50.5,Put,YELP  150206P00050500,1.850,1.75,1.95,-0.05,-2.6316,0,2,1.8500,0.9513,97.1094,-0.3429,0.0495,-0.1718,-0.2881,0.0287,-0.0041
02/06/2015,51.0,Call,YELP  150206C00051000,4.150,3.90,4.40,-0.05,-1.1905,1,201,4.1500,1.0073,96.8991,0.6270,0.0480,-0.1869,-0.2566,0.0297,0.0064
02/06/2015,51.0,Put,YELP  150206P00051000,2.050,1.95,2.15,-0.05,-2.3809,46,105,2.0500,0.9495,96.8991,-0.3688,0.0509,-0.1760,-0.2892,0.0297,-0.0044
02/06/2015,51.5,Call,YELP  150206C00051500,3.850,3.60,4.10,-0.05,-1.2821,0,0,3.8500,1.0001,96.67,0.6023,0.0492,-0.1891,-0.2603,0.0302,0.0061
02/06/2015,51.5,Put,YELP  150206P00051500,2.275,2.15,2.40,-0.05,-2.1505,4,6,2.2750,0.9525,96.67,-0.3954,0.0518,-0.1804,-0.2874,0.0304,-0.0047
02/06/2015,52.0,Call,YELP  150206C00052000,3.550,3.30,3.80,-0.10,-2.7397,136,47,3.5500,0.9889,96.4224,0.5771,0.0505,-0.1897,-0.2663,0.0307,0.0059
02/06/2015,52.0,Put,YELP  150206P00052000,2.500,2.40,2.60,-0.08,-2.9126,100,83,2.5000,0.9495,96.4224,-0.4220,0.0528,-0.1826,-0.2892,0.0306,-0.0050
02/06/2015,52.5,Call,YELP  150206C00052500,3.300,3.10,3.50,-0.10,-2.9412,13,2,3.3000,0.9899,96.1569,0.5514,0.0510,-0.1919,-0.2657,0.0310,0.0057
02/06/2015,52.5,Put,YELP  150206P00052500,2.750,2.65,2.85,-0.05,-1.7857,39,172,2.7500,0.9506,96.1569,-0.4488,0.0533,-0.1848,-0.2885,0.0311,-0.0053
02/06/2015,53.0,Call,YELP  150206C00053000,3.025,2.85,3.20,-0.12,-3.9683,5,161,3.0250,0.9787,95.8738,0.5253,0.0519,-0.1910,-0.2719,0.0312,0.0054
02/06/2015,53.0,Put,YELP  150206P00053000,3.050,2.90,3.20,0.00,0,0,248,3.0500,0.9645,95.8738,-0.4751,0.0529,-0.1888,-0.2803,0.0312,-0.0056
02/06/2015,53.5,Call,YELP  150206C00053500,2.800,2.60,3.00,-0.12,-4.2735,3,27,2.8000,0.9795,95.5734,0.4996,0.0520,-0.1915,-0.2715,0.0313,0.0052
02/06/2015,53.5,Put,YELP  150206P00053500,3.250,3.10,3.40,-0.10,-2.9851,0,83,3.2500,0.9408,95.5734,-0.5028,0.0543,-0.1845,-0.2946,0.0314,-0.0059
02/06/2015,54.0,Call,YELP  150206C00054000,2.525,2.40,2.65,-0.15,-5.6075,32,44,2.5250,0.9601,95.256,0.4723,0.0529,-0.1872,-0.2825,0.0312,0.0049
02/06/2015,54.0,Put,YELP  150206P00054000,3.550,3.40,3.70,0.00,0,0,123,3.5500,0.9452,95.256,-0.5290,0.0539,-0.1848,-0.2919,0.0312,-0.0062
02/06/2015,54.5,Call,YELP  150206C00054500,2.325,2.15,2.50,-0.15,-6.0606,1,22,2.3250,0.9607,94.9219,0.4466,0.0525,-0.1861,-0.2822,0.0310,0.0047
02/06/2015,54.5,Put,YELP  150206P00054500,3.850,3.70,4.00,0.00,0,0,40,3.8500,0.9464,94.9219,-0.5551,0.0535,-0.1839,-0.2911,0.0307,-0.0065
02/06/2015,55.0,Call,YELP  150206C00055000,2.175,2.05,2.30,-0.10,-4.3956,44,265,2.1750,0.9735,94.5714,0.4231,0.0513,-0.1868,-0.2748,0.0307,0.0044
02/06/2015,55.0,Put,YELP  150206P00055000,4.150,4.00,4.30,0.00,0,17,307,4.1500,0.9423,94.5714,-0.5813,0.0531,-0.1808,-0.2937,0.0309,-0.0068
02/06/2015,55.5,Call,YELP  150206C00055500,1.900,1.80,2.00,-0.15,-7.3171,5,28,1.9000,0.9414,94.2048,0.3935,0.0521,-0.1774,-0.2939,0.0301,0.0041
02/06/2015,55.5,Put,YELP  150206P00055500,4.450,4.30,4.60,-0.05,-1.1111,0,5,4.4500,0.9344,94.2048,-0.6078,0.0527,-0.1764,-0.2987,0.0301,-0.0071
02/06/2015,56.0,Call,YELP  150206C00056000,1.775,1.65,1.90,-0.10,-5.3333,2,60,1.7750,0.9548,93.8224,0.3715,0.0505,-0.1769,-0.2857,0.0296,0.0039
02/06/2015,56.0,Put,YELP  150206P00056000,4.800,4.70,4.90,-0.05,-1.0309,0,193,4.8000,0.9401,93.8224,-0.6315,0.0514,-0.1743,-0.2951,0.0290,-0.0073
02/06/2015,56.5,Call,YELP  150206C00056500,1.600,1.45,1.75,-0.12,-7.2464,40,49,1.6000,0.9476,93.4242,0.3465,0.0497,-0.1713,-0.2900,0.0289,0.0037
02/06/2015,56.5,Put,YELP  150206P00056500,5.100,5.00,5.20,-0.05,-0.9709,0,11,5.1000,0.9233,93.4242,-0.6589,0.0509,-0.1664,-0.3060,0.0292,-0.0076
02/06/2015,57.0,Call,YELP  150206C00057000,1.450,1.30,1.60,-0.05,-3.3333,0,60,1.4500,0.945,93.0106,0.3230,0.0485,-0.1662,-0.2916,0.0281,0.0034
02/06/2015,57.0,Put,YELP  150206P00057000,5.450,5.30,5.60,-0.05,-0.9091,0,12,5.4500,0.9199,93.0106,-0.6830,0.0496,-0.1609,-0.3083,0.0278,-0.0079
02/06/2015,57.5,Call,YELP  150206C00057500,1.325,1.20,1.45,-0.07,-5.3571,5,71,1.3250,0.9476,92.5817,0.3016,0.0469,-0.1618,-0.2900,0.0273,0.0032
