expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/02/2015,1.5,Call,ZNGA  150102C00001500,1.155,1.10,1.21,-0.05,-3.75,0,0,1.1600,0.5823,N/A,1.0000,0.0000,-0.0000,-0.0000,0.0000,0.0001
01/02/2015,1.5,Put,ZNGA  150102P00001500,0.000,0.00,0.04,0.00,0,0,0,0.0000,0.5823,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/02/2015,2.0,Call,ZNGA  150102C00002000,0.670,0.64,0.70,-0.03,-4.2857,0,78,0.6600,0.5823,N/A,1.0000,0.0000,-0.0000,-0.0000,0.0000,0.0001
01/02/2015,2.0,Put,ZNGA  150102P00002000,0.000,0.00,0.04,0.00,0,0,0,0.0000,0.5823,N/A,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/02/2015,2.5,Call,ZNGA  150102C00002500,0.165,0.14,0.19,-0.06,-25,10,958,0.1638,0.5823,N/A,0.9280,1.1969,-0.0039,-303.3947,0.0003,0.0001
01/02/2015,2.5,Put,ZNGA  150102P00002500,0.000,0.00,0.05,0.00,0,0,182,0.0037,0.5823,N/A,-0.0720,1.1969,-0.0039,-304.3204,0.0003,-0.0000
01/02/2015,3.0,Call,ZNGA  150102C00003000,0.000,0.00,0.02,0.00,0,0,581,0.0001,0.5823,N/A,0.0028,0.0753,-0.0002,-303.7541,0.0000,0.0000
01/02/2015,3.0,Put,ZNGA  150102P00003000,0.340,0.32,0.36,0.07,28.3019,0,1343,0.3401,0.5823,N/A,-0.9975,0.0709,-0.0002,-323.6576,0.0000,-0.0000
01/02/2015,3.5,Call,ZNGA  150102C00003500,0.000,0.00,0.04,0.00,0,0,17,0.0000,0.5823,N/A,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
01/02/2015,3.5,Put,ZNGA  150102P00003500,0.855,0.81,0.90,0.10,12.5,0,0,0.8400,0.5823,N/A,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01/09/2015,1.5,Call,ZNGA  150109C00001500,1.165,1.11,1.22,-0.04,-2.9167,0,0,1.1601,0.5823,N/A,1.0000,0.0000,-0.0000,-0.0000,0.0000,0.0004
01/09/2015,1.5,Put,ZNGA  150109P00001500,0.000,0.00,0.03,0.00,0,0,0,0.0000,0.5823,N/A,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
01/09/2015,2.0,Call,ZNGA  150109C00002000,0.665,0.61,0.72,-0.04,-5,0,0,0.6601,0.5823,N/A,0.9992,0.0110,-0.0000,-243.6222,0.0000,0.0005
01/09/2015,2.0,Put,ZNGA  150109P00002000,0.000,0.00,0.03,0.00,0,0,0,0.0001,0.5823,N/A,-0.0008,0.0110,-0.0000,-304.5278,0.0000,-0.0000
01/09/2015,2.5,Call,ZNGA  150109C00002500,0.195,0.18,0.21,-0.07,-27.7778,10,626,0.1950,0.5823,N/A,0.7656,1.2614,-0.0042,-303.5959,0.0013,0.0005
